'id';'lineEnd';'commaSep';'opAssign';'colonSep';'tInt';'tFloat';'tBool';'tChar';'tString';'arrayBeg';'arrayEnd';'consNumInt';'consNumFlo';'consBool';'consChar';'consString';'arraybeg';'opLogicOr';'opLogicAnd';'opEquals';'opRel';'opPlus';'opMinus';'opMult';'opExp';'paramBeg';'paramEnd';'opUnMinus';'opNot';'rwLength';'rwWhile';'rwFor';'rwIf';'rwElif';'rwElse';'rwPrint';'rwRead';'main';'rwVoid';'scopeBeg';'scopeEnd';'rwReturn';$
r65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r65;r65;r65;;;r65;r65;;;;r65;r65;
r54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r54;r54;r54;;;r54;r54;;;;r54;r54;
s52;;;;;;;;;;;;s55;s56;s57;s58;s59;s61;;;;;;;;;s48;;s50;s51;s53;;;;;;;;;;;;;
;;;s118;;;;;;;s100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r57;r57;r57;s165;s166;r57;r57;;;;r57;r57;
;;s168;;;;;;;;;;;;;;;;;;;;;;;;;s167;;;;;;;;;;;;;;;;
;;s170;;;;;;;;;;;;;;;;;;;;;;;;;s169;;;;;;;;;;;;;;;;
;;;;;;;;;;;s171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r51;r51;r51;;;;;;;r51;r51;;;;;;;r51;r51;r51;r51;r51;r51;r51;r51;;r51;;;;;;;;;;;;;r51;;;
;r79;r79;;;;;;;;;r79;;;;;;;r79;r79;r79;r79;r79;r79;r79;r79;;r79;;;;;;;;;;;;;r79;;;
;r46;r46;;;;;;;;;r46;;;;;;;r46;r46;r46;r46;r46;r46;r46;r46;;r46;;;;;;;;;;;;;r46;;;
;;r49;;;;;;;;;r49;;;;;;;;;;;;;;;;r49;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;r77;;;;;;;;;;;;;;;;
